client_id,client_tenure_in_years,client_age,gender,number_of_accounts,balance,calls_per_year,logons_per_year,experiment_group,dummy,tenure_group,age_group,balance_group
836976,6,60.5,U,2,45105.3,12,18,Test,1,0-10 years,61-80 years,0 - 200k
2304905,7,58.0,U,2,110860.3,12,18,Control,1,0-10 years,41-60 years,0 - 200k
1439522,5,32.0,U,2,52467.78999999999,12,18,Test,1,0-10 years,21-40 years,0 - 200k
1562045,16,49.0,M,2,67454.65,6,12,Test,1,10-20 years,41-60 years,0 - 200k
5126305,12,33.0,F,2,103671.75,0,6,Control,1,10-20 years,21-40 years,0 - 200k
3727881,5,30.5,U,2,23915.6,0,6,Control,1,0-10 years,21-40 years,0 - 200k
272934,5,58.5,U,2,27021.42,4,10,Control,1,0-10 years,41-60 years,0 - 200k
388801,30,57.5,M,5,522498.72,2,8,Test,1,30-40 years,41-60 years,"400,001 - 600k"
285619,30,67.5,M,2,299388.72,6,12,Control,1,30-40 years,61-80 years,"200,001 - 400k"
8198645,15,54.5,F,2,382303.83,12,18,Test,1,10-20 years,41-60 years,"200,001 - 400k"
8368822,8,34.5,U,2,75578.54000000001,0,6,Control,1,0-10 years,21-40 years,0 - 200k
2537139,8,51.5,U,2,135940.68,12,18,Control,1,0-10 years,41-60 years,0 - 200k
2208717,5,33.0,U,2,29782.96,12,18,Test,1,0-10 years,21-40 years,0 - 200k
2214073,16,62.5,M,3,136818.03,12,18,Test,1,10-20 years,61-80 years,0 - 200k
2368987,5,54.5,U,2,44408.869999999995,4,10,Control,1,0-10 years,41-60 years,0 - 200k
2892152,4,36.0,U,2,46815.48,10,16,Test,1,0-10 years,21-40 years,0 - 200k
4536541,3,74.0,U,2,47804.5,2,8,Test,1,0-10 years,61-80 years,0 - 200k
3788589,10,32.5,M,2,30750.76,0,6,Control,1,10-20 years,21-40 years,0 - 200k
719792,11,31.0,F,2,111736.78,10,16,Test,1,10-20 years,21-40 years,0 - 200k
5904035,8,25.5,U,2,27848.76,6,12,Test,1,0-10 years,21-40 years,0 - 200k
1502049,8,31.0,U,2,28952.15,0,6,Control,1,0-10 years,21-40 years,0 - 200k
6590646,8,42.5,F,3,2768726.87,10,16,Test,1,0-10 years,41-60 years,"800,001+"
7585111,5,42.0,U,3,36621.41,2,8,Control,1,0-10 years,41-60 years,0 - 200k
3638336,12,30.5,M,3,54296.67,6,12,Test,1,10-20 years,21-40 years,0 - 200k
9520009,13,30.0,M,2,61062.57,12,18,Control,1,10-20 years,21-40 years,0 - 200k
1508759,6,58.5,U,2,66514.85,8,14,Test,1,0-10 years,41-60 years,0 - 200k
9381346,7,62.5,U,2,272252.76,0,6,Control,1,0-10 years,61-80 years,"200,001 - 400k"
7035604,7,30.5,U,2,28175.92,2,8,Control,1,0-10 years,21-40 years,0 - 200k
3055315,5,34.5,F,2,66560.69,2,10,Control,1,0-10 years,21-40 years,0 - 200k
3350906,5,55.0,U,2,88627.18,4,10,Control,1,0-10 years,41-60 years,0 - 200k
2109862,7,38.0,U,2,35917.29,4,10,Test,1,0-10 years,21-40 years,0 - 200k
1549737,7,68.5,U,2,35608.94,2,8,Control,1,0-10 years,61-80 years,0 - 200k
7474517,6,52.5,U,2,53993.47,8,14,Control,1,0-10 years,41-60 years,0 - 200k
6448014,7,57.5,U,2,82787.45999999999,12,18,Control,1,0-10 years,41-60 years,0 - 200k
6651826,8,34.5,U,2,44696.97,0,6,Control,1,0-10 years,21-40 years,0 - 200k
2305285,14,54.0,M,2,132347.89,12,18,Control,1,10-20 years,41-60 years,0 - 200k
5889920,11,33.0,M,2,106249.03,2,8,Test,1,10-20 years,21-40 years,0 - 200k
3065089,19,63.0,M,2,439723.43,12,18,Test,1,10-20 years,61-80 years,"400,001 - 600k"
313570,18,48.0,F,2,75124.07,4,10,Test,1,10-20 years,41-60 years,0 - 200k
9721424,12,32.0,F,2,29667.6,0,6,Test,1,10-20 years,21-40 years,0 - 200k
3753796,25,66.5,F,2,214661.75,12,18,Control,1,20-30 years,61-80 years,"200,001 - 400k"
6647577,23,68.0,F,3,86005.57,4,10,Test,1,20-30 years,61-80 years,0 - 200k
6341488,23,65.0,F,2,116534.46,10,16,Test,1,20-30 years,61-80 years,0 - 200k
838619,23,60.5,F,2,131309.81,0,6,Test,1,20-30 years,61-80 years,0 - 200k
2000151,21,38.0,F,2,136515.53999999998,12,18,Test,1,20-30 years,21-40 years,0 - 200k
6579978,21,74.0,M,2,71192.58,2,8,Control,1,20-30 years,61-80 years,0 - 200k
8475126,23,51.0,M,3,327091.01999999996,6,12,Control,1,20-30 years,41-60 years,"200,001 - 400k"
7419744,18,49.0,U,2,162233.71000000002,0,6,Test,1,10-20 years,41-60 years,0 - 200k
9796602,18,46.0,F,2,25827.39,0,6,Test,1,10-20 years,41-60 years,0 - 200k
1329260,17,63.5,F,2,666138.27,10,16,Control,1,10-20 years,61-80 years,"600,001 - 800k"
4821014,17,62.5,M,2,45073.259999999995,2,8,Control,1,10-20 years,61-80 years,0 - 200k
7906602,21,54.5,F,2,39725.28,4,10,Test,1,20-30 years,41-60 years,0 - 200k
2671231,5,23.0,U,2,43062.3,2,8,Control,1,0-10 years,21-40 years,0 - 200k
9587439,5,26.5,U,2,28875.65,12,18,Control,1,0-10 years,21-40 years,0 - 200k
5542798,9,56.5,M,2,79888.68,10,16,Test,1,0-10 years,41-60 years,0 - 200k
5977906,10,76.5,F,2,82916.93,6,12,Control,1,10-20 years,61-80 years,0 - 200k
7928244,14,33.0,F,2,105416.69,12,18,Test,1,10-20 years,21-40 years,0 - 200k
4906392,13,27.5,F,2,52600.869999999995,4,10,Control,1,10-20 years,21-40 years,0 - 200k
3939684,15,60.5,F,2,48166.13,2,8,Control,1,10-20 years,61-80 years,0 - 200k
3731320,7,39.5,U,2,34487.99,12,18,Test,1,0-10 years,21-40 years,0 - 200k
9055726,5,25.0,U,3,33261.64,12,18,Test,1,0-10 years,21-40 years,0 - 200k
5808972,5,23.0,U,2,29898.98,0,6,Control,1,0-10 years,21-40 years,0 - 200k
7414763,7,27.0,U,2,53219.649999999994,12,18,Test,1,0-10 years,21-40 years,0 - 200k
1531616,10,60.0,M,2,100777.88,12,18,Control,1,10-20 years,61-80 years,0 - 200k
8387066,27,66.0,M,2,406190.96,12,18,Test,1,20-30 years,61-80 years,"400,001 - 600k"
3402999,7,39.0,U,2,56527.899999999994,0,6,Control,1,0-10 years,21-40 years,0 - 200k
8593187,14,56.0,M,3,207559.95,12,18,Control,1,10-20 years,41-60 years,"200,001 - 400k"
5908339,15,40.0,F,2,205785.55,10,16,Control,1,10-20 years,41-60 years,"200,001 - 400k"
4442018,6,33.0,U,2,65264.869999999995,12,18,Control,1,0-10 years,21-40 years,0 - 200k
5727622,6,52.0,U,3,109130.47,8,14,Test,1,0-10 years,41-60 years,0 - 200k
3284361,12,31.5,F,2,28085.99,2,8,Test,1,10-20 years,21-40 years,0 - 200k
6666515,14,38.0,U,2,59526.369999999995,4,10,Test,1,10-20 years,21-40 years,0 - 200k
9150149,5,43.5,U,2,104179.39,4,10,Control,1,0-10 years,41-60 years,0 - 200k
7176877,5,35.0,U,2,75279.47,4,10,Control,1,0-10 years,21-40 years,0 - 200k
410752,11,19.0,M,2,25640.01,4,10,Test,1,10-20 years,0-20 years,0 - 200k
3979917,19,63.0,M,2,374919.6,8,14,Control,1,10-20 years,61-80 years,"200,001 - 400k"
7759130,5,64.5,U,2,78278.56,12,18,Test,1,0-10 years,61-80 years,0 - 200k
5587497,7,64.0,U,2,410277.5,10,16,Control,1,0-10 years,61-80 years,"400,001 - 600k"
